npcID,Name,Level,HP,AtkPw,AtkSp,MgcPw,Block,Dodge,Armor,MgcRs,Crits,Item1ID,Item2ID,Item3ID,Item4ID,Item5ID,XPYield,act1,act2,act3,act4,act5,act6,act7,act8,act9,TextStart,TextDeath,TextWin,Description
11,Myrrowed One,3,150,25,30,75,51,80,51,51,15,39,51,58,30,80,4,19,22,31,25,19,22,25,19,26,"The air stills as the Myrrowed One drifts into view, its mirrored face warping into your deepest fear.",The chains fall silent. The mirror cracks. The echo fades.,"You were always afraid of this, it whispers, as the fear consumes you.",
12,Wurmfather,3,210,75,30,50,55,20,55,65,10,50,54,57,40,81,5,11,8,5,36,45,8,37,17,5,"The ground splits as the Wurmfather heaves upward, bile gurgling and worms shrieking in his crown.",The cavern trembles as his corpse sinks back into the sludge.,His jaw unhinges. You are devoured. The Wurmfather grows.,
13,Virelya,3,159,45,50,70,30,45,30,45,45,48,53,64,11,67,4,9,13,30,31,22,24,22,25,22,"The grove sighs as Virelya emerges in a bloom of light and wilt, her voice humming a forgotten lullaby.","Her petals scatter on the wind, and for a moment, the grove weeps silence.","She leans close, whispering: This is not cruelty. Only mourning.",
14,Thassilith,2,188,70,35,70,40,30,40,30,30,49,52,56,40,82,4,29,37,18,13,24,26,18,13,12,"A false star flickers above, and Thassilith slithers down with silent hunger.",Its glow dims. The glyphs stop pulsing. The vault is silent once more.,Your thoughts unravel into threads of light. Thassilith feeds again.,
15,Mother Vexx,3,170,20,25,90,20,30,40,40,35,45,46,43,33,83,4,36,11,13,11,13,11,13,14,14,"Lullabies drip from the ceiling as Mother Vexx floats into view, cradling shadows.","Her porcelain mask cracks, whispering, Hush now, before crumbling to dust.",The doll-heads chant in harmony: You will make a lovely child.,
16,Korgra,3,190,63,35,25,63,63,63,63,10,65,66,37,44,84,5,6,20,35,6,20,6,20,6,2,"This time I will cast it right, she mutters, dragging her broomstick forward. Glitter falls with each step.","She stumbles, looks confused, and mumbles, Wait... that wasnt supposed to happen... before sitting down hard, blinking tears through her cracked tiara.","Korgra sniffs, then beams: See? I told you I was magical. She raises her wand-spoon over your corpse like it means something.",
17,Zarkul,3,190,70,60,70,30,50,40,40,35,43,55,59,62,85,5,37,24,2,29,8,40,24,24,29,"A curl of smoke drifts in, then Zarakul follows, whispering about flavors long forgotten.","His ember-lit body cracks apart like burnt ice, muttering, They never got the ratios right...","Zarakul inhales deeply, then smiles: Finally, no one left to steal the last sip.",
18,Eyrethin,3,195,66,66,99,35,50,50,75,50,11,29,32,52,86,5,37,26,21,26,22,26,21,26,45,"The air bends, the walls murmur, and Eyrethin steps into view. his third eye already watching",He collapses in silence as the third eye flickers and shuts. A whisper follows: This timeline... ends here.,"He hovers over your body, head tilted. It was written, the voices echo. You just couldnt read it.",
19,Augustinium,3,200,50,40,75,47,11,75,70,55,69,70,42,50,87,7,36,27,27,37,27,26,26,27,19,423,19,19,
20,Sir Galdrien,4,222,77,22,77,88,22,77,77,22,67,60,58,68,88,10,27,36,34,14,5,10,27,27,34,462,20,20,
21,Test30,1,300,30,30,30,30,30,30,30,30,7,41,35,31,89,1,1,1,1,2,2,2,2,3,3,240,d240,w240,
22,Test70,1,150,70,70,70,70,70,70,70,70,89,90,91,79,88,10,1,1,1,2,2,41,41,41,41,560,d560,e560,
23,Test50,1,150,50,50,50,50,50,50,50,50,47,61,88,88,89,1,1,1,1,2,2,41,41,41,41,400,d400,e400,
